index	sha	risk	status	decision	result_commit	tests	notes
1	5e72deb7d4229716465ca6bf5dc7b8da26e83c76	medium	merged	auto_merge	3cc65cc6bcbc32b721d33f42fa4b83260d7d5147	backend_compile_and_frontend_typecheck_passed	applied
2	3bff4b64b1c6a5460ed9c53889db777cbf0053f7	medium	merged	auto_merge	2767b463bf36cefa70a6a0fcba48a4a0766f4684	backend_compile_and_frontend_typecheck_passed	applied
3	7d796f1119a36f0cb48541de54e07f443def1a21	medium	merged	auto_merge	3ab462db6606ab9c5dcfe57eeb90cd79ca9a2c0b	backend_compile_and_frontend_typecheck_passed	applied
4	a6d868f27b64e6b2e2dd96a69560f82b7243846a	medium	merged	auto_merge	5178d5d56ce4808c021b1f36bac8fbfb745a7a1e	backend_compile_and_frontend_typecheck_passed	applied
5	35e8ba2a3ea1e8b351f958f49df66eef80b407d1	medium	merged	auto_merge	8a9610df856e7d0cc3515cc8bbdd17c630e33145	backend_compile_and_frontend_typecheck_passed	applied
6	0d5e3ca9b03bd555329110ba9dffa7275f5866ec	medium	merged	auto_merge	7674d0c8533ab348f562ab00dba91c3e38f05da2	backend_compile_and_frontend_typecheck_passed	applied
7	9c36b75a7d2feaf20db7de25b3ab33f108e04279	medium	merged	auto_merge	181070af4f3198c5eca780287a562d00d7a5e425	backend_compile_and_frontend_typecheck_passed	applied
8	0b35370a7ab9fd419574922411bf94531e4350ee	medium	merged	auto_merge	b63ac1871611eb3962055d883a19aa111926290f	backend_compile_and_frontend_typecheck_passed	applied
9	2321c0e771a7638127f9931cd964ad5d84ab5277	medium	merged	auto_merge		backend_compile_and_frontend_typecheck_passed	empty_application_or_duplicate
10	1afb8264e53c4952cdd1a860a3605351e5ac330a	medium	merged	auto_merge	bd0a2b5bc99e83e90391c5a1f6221b919f72933c	backend_compile_and_frontend_typecheck_passed	applied
11	5ea03c178df54d0e8d7346c72935df6633fb634e	medium	merged	auto_merge	df1d6f919ef457a0859c7bf90bd6263d5211ae88	backend_compile_and_frontend_typecheck_passed	applied
12	145b0ac35e06b168cddfab754b074afb20d234d5	medium	merged	auto_merge	eeb09d04c1679cfc54a6f522728e86f8537a8fd1	backend_compile_and_frontend_typecheck_passed	applied
13	e087f1b73699d31a1077b03e10dae0e8c3992a9c	medium	merged	auto_merge	7190d7d48bdad77c26633df5658a8f60759e42db	backend_compile_and_frontend_typecheck_passed	applied
14	c3fc4331c1b150998a9b2dd9dfc3fe5d4d4d64bf	medium	merged	auto_merge	a01b600ebb5051057a82320cd84cfb849556928b	backend_compile_and_frontend_typecheck_passed	applied
15	c91fbeb0c008b2323e98ca5b73cedf074c8543dd	medium	merged	auto_merge	4299fc70a4f6d89708219f8fc8af29361c842c95	backend_compile_and_frontend_typecheck_passed	applied
16	76a13a5a8d56dca2befb8a3d70daf356c540f336	medium	merged	auto_merge	66655cec8411f45e9bdff0665ad86059ba1cf723	backend_compile_and_frontend_typecheck_passed	applied
