index	sha	parents	committer_date	subject
1	1bf76d26d763ad023286996a202dc2bf135df8b7	6ca1e15b0ad2455b6df16535023be754fe087ea7 4795650d21d26b8c1db3b64dfe292fd61ef0a1d7	2026-08-26T15:03:11+08:00	Merge pull request #6229 from Wei-Shaw/fix/openai-upstream-endpoint-observability
2	b9083fc7ad4eefd63c4366486934dd08d920ad8b	1bf76d26d763ad023286996a202dc2bf135df8b7 d8694f03bc5da0cf84a6f82a8ceaf08042cc8030	2026-08-26T15:03:24+08:00	Merge pull request #6211 from Monika-shipship/codex/ws-v2-tool-id-regression
3	5929cdd38cad186abb494f48d0e057697093afc8	efb46db0a960fdad94502b1c3a982a0051cf5245 d077002ebaec8f5fde8383f7a892d0b054f658f5	2026-08-28T10:54:33+08:00	Merge pull request #6270 from fengshao1227/fix/openai-images-tool-cooldown-not-from-text-heuristic
4	d36f4dd6c6d35cc2662929fea669fa0314b2eb86	0eddfe1cfaca0e5b2ae5daddaba888057aea2b2a 96e9ab8662e2e3ddd100815b59b524b8ae961763	2026-08-28T11:16:40+08:00	Merge pull request #6255 from feeeei/main
5	f83fe6435b584a91580579547b046c559bdf161d	d36f4dd6c6d35cc2662929fea669fa0314b2eb86 ee2c8b97bb0bba76a918a7c57ef00f35fbfd1564	2026-08-28T11:27:31+08:00	Merge pull request #6277 from TYzzt/fix/apikey-namespace-roundtrip
6	0f6ad105feb8de915861bf9695ccf6cc69bcadff	eca8d6b9abb08dfc0b6df240ce68a8c685760a9a 28fa458dc71ecc4259719882a9557c81386242e8	2026-08-28T11:55:02+08:00	Merge pull request #6246 from wucm667/fix/issue-6240-preserve-multimodal-tool-output
7	fafc4d288d06ffc1c054c73967627b6d53b552d0	7eed2d3b7ded983145c6ae3c1f871fe4f91b6143 de084cdfc2caf2730506b86e0fe8df7d8b11dece	2026-08-28T12:25:52+08:00	Merge pull request #6278 from kk-418/fix/grok46-xhigh
8	4e9c1d7c8b1f9dd4dc88d145c15cb96bfafd8f79	fafc4d288d06ffc1c054c73967627b6d53b552d0 a0b313018aacc052da7358314c0377499b5508dd	2026-08-28T12:36:14+08:00	Merge pull request #6299 from william-drakemond/fix/openai-raw-stream-truncation
9	443537daae1613c44dba1351fad7faabb1531a26	4e9c1d7c8b1f9dd4dc88d145c15cb96bfafd8f79 b588c0bc42428ce5fdeb43c0fc184ee11a8e3702	2026-08-28T12:47:07+08:00	Merge pull request #6293 from specialpointcentral/fix/ws-v2-passthrough-cyber
10	dc332d141c635da33175f717a4e20640ee072c9f	443537daae1613c44dba1351fad7faabb1531a26 59bb131df46c0e8be09e569a092ac02eb9ebb93c	2026-08-28T12:57:41+08:00	Merge pull request #6260 from feeeei/fix/anthropic
11	9b61c1bdd9f30f7f4f70a934f7f32d645d46ca28	dc332d141c635da33175f717a4e20640ee072c9f add86cc3bcc90f755601a401c330f885db5fc93c	2026-08-28T13:08:33+08:00	Merge pull request #6263 from zenor0/fix/openai-reset-usage-sync
12	e866ff6ec431816e8b9d4b81dc7b00122ca3f7f8	9b61c1bdd9f30f7f4f70a934f7f32d645d46ca28 d674a04f2aaccd4262c3f395a0279860c22ad1c5	2026-08-28T13:19:11+08:00	Merge pull request #6303 from akihitohyh/feat/per-user-public-group-access
13	1e6926cb9cbafe565f8b1f41a07c71af0b84bbeb	e866ff6ec431816e8b9d4b81dc7b00122ca3f7f8 c83dced4ba715f0b6aca81ca272e7156b45e6c3c	2026-08-28T15:56:34+08:00	Merge pull request #6312 from fengshao1227/fix/openai-ws-client-close-not-account-failure
14	446042e518fa42b2f725126651a11ba73300e696	1e6926cb9cbafe565f8b1f41a07c71af0b84bbeb 1e8745c887d7de857ab6984b471aef611126bcaa	2026-08-28T15:57:10+08:00	Merge pull request #6309 from fengshao1227/fix/easypay-resolve-relative-payurl-qrcode
15	c8a6e93f3377616d13597d022339a8fd715dd6b5	446042e518fa42b2f725126651a11ba73300e696 81ac8ccd64267a9518e23b1acecaad3d3093abb5	2026-08-28T15:57:39+08:00	Merge pull request #6310 from fengshao1227/fix/nonstreaming-terminal-failure-failover-v2
16	423f89575591e349547b9290ae5cfa4d30c5c17c	c8a6e93f3377616d13597d022339a8fd715dd6b5 d522aed65ee8749d86c0f554f70cfccd2eef706e	2026-08-28T15:58:09+08:00	Merge pull request #6227 from OG-Wang/codex/promo-code-oauth-signup
17	d4754c211a1b5ad71b80734e7d4daec827c54f4f	423f89575591e349547b9290ae5cfa4d30c5c17c fd872550d5d58a804cb49e5ba0fa94f031c2593c	2026-08-28T15:58:39+08:00	Merge pull request #6291 from Whisper-stark/fix/grok-codex-responses
18	987588eaa1bf78f8d49d4623a9f47a153404c3b2	ac18c588c81821b3c4fd4f2c2457dd9a3e341737 804679d9967877418e10b72ca00ca6627626c4a0	2026-08-29T15:44:37+08:00	Merge pull request #6358 from Wei-Shaw/fix/openai-spark-model-429-rate-limit
